ANCHORING_GROUP;PEAK_ABSORPTION_SOLUTION;DONOR;STRUCTURE;PEAK_ABSORPTION_METAL_OXIDE;METAL_OXIDE;SOLVENT;AGGREGATION;DOI
cyanoacrylic,carboxylic;485;triphenylamine;N#C/C(=C\c1ccc(s1)c1sc2c(c1CC(CC(C)(C)C)C)sc1c2sc2c1sc(c2CC(CC(C)(C)C)C)c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C(=O)O;540;TiO2;1,2-dichlorobenzene;BATHOCHROMIC;10.1039/C7TA01825H
cyanoacrylic,carboxylic;498;triphenylamine;CCCCCCCCCCCCCCCc1c(sc2c1sc1c2sc2c1sc(c2CCCCCCCCCCCCCCC)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1;520;TiO2;1,2-dichlorobenzene;BATHOCHROMIC;10.1039/C7TA01825H
cyanoacrylic,carboxylic;519;triphenylamine;CCCCCCCCCc1c(sc2c1sc1c2sc2c1sc(c2CCCCCCCCC)c1ccc(s1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1;520;TiO2;1,2-dichlorobenzene;UNCHANGED;10.1039/C7TA01825H
cyanoacrylic,carboxylic;498;triphenylamine;CCCCCCCCCCCCCCCc1c(C=C(C(=O)O)C#N)sc2c1sc1c2sc2c1sc(c2CCCCCCCCCCCCCCC)c1ccc(cc1)N(c1ccccc1)c1ccccc1;498;TiO2;1,2-dichlorobenzene;UNCHANGED;10.1021/ja513254z
cyanoacrylic,carboxylic;482;triphenylamine;CCCCCCCCCCCCCCCc1c(C=C(C(=O)O)C#N)sc2c1sc1c2sc2c1sc(c2CCCCCCCCCCCCCCC)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1;482;TiO2;1,2-dichlorobenzene;UNCHANGED;10.1021/ja513254z
cyanoacrylic,carboxylic;490;triphenylamine;CCCCCCCCCCCCCCCc1c(sc2c1sc1c2sc2c1sc(c2CCCCCCCCCCCCCCC)c1ccc(s1)C=C(C(=O)O)C#N)c1ccc(cc1)N(c1ccccc1)c1ccccc1;490;TiO2;1,2-dichlorobenzene;UNCHANGED;10.1021/ja513254z
cyanoacrylic,carboxylic;513;triphenylamine;CCCCCCCCCCCCCCCc1c(sc2c1sc1c2sc2c1sc(c2CCCCCCCCCCCCCCC)c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(s1)C=C(C(=O)O)C#N;513;TiO2;1,2-dichlorobenzene;UNCHANGED;10.1021/ja513254z
cyanoacrylic,carboxylic;500;triphenylamine;CCCCC1(CCCC)c2cc(ccc2c2c1cc(cc2)/C=C(/C(=O)O)\C#N)N(c1ccc2c(c1)C(CCCC)(CCCC)c1c2ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OC;500;TiO2;1,2-dichloroethane;UNCHANGED;10.1039/C7NJ01516J
cyanoacrylic,carboxylic;494;triphenylamine;CCCCC1(CCCC)c2cc(ccc2c2c1cc(cc2)N(c1ccc2c(c1)C(CCCC)(CCCC)c1c2ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCCCCCCCCCCC)/C=C(/C(=O)O)\C#N;500;TiO2;1,2-dichloroethane;UNCHANGED;10.1039/C7NJ01516J
cyanoacrylic,carboxylic;495;triphenylamine;CCCCC1(CCCC)c2cc(ccc2c2c1cc(cc2)/C=C(/C(=O)O)\C#N)N(c1ccc2c(c1)C(CCCC)(CCCC)c1c2ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F;500;TiO2;1,2-dichloroethane;UNCHANGED;10.1039/C7NJ01516J
cyanoacrylic,carboxylic;482;triphenylamine;CCCCC1(CCCC)c2cc(ccc2c2c1cc(cc2)/C=C(/C(=O)O)\C#N)N(c1ccc2c(c1)C(CCCC)(CCCC)c1c2ccc(c1)/C=C(/C(=O)O)\C#N)c1ccc(cc1)OC(COC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(COC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)COC(C(F)(F)F)(C(F)(F)F)C(F)(F)F;490;TiO2;1,2-dichloroethane;UNCHANGED;10.1039/C7NJ01516J
benzoic,carboxylic;374;triphenylamine,carbazole;OC(=O)c1ccc(cc1)c1ccc2c(c1)[nH]c1c2ccc(c1)N(c1ccccc1)c1ccccc1;384;TiO2;1,4-dioxane;UNCHANGED;10.1002/ange.201102552
benzoic,carboxylic;376;triphenylamine,carbazole;CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(cc1)C(=O)O;384;TiO2;1,4-dioxane;UNCHANGED;10.1002/ange.201102552
pyridine;372;triphenylamine,carbazole;c1ccc(cc1)N(c1ccc2c(c1)[nH]c1c2ccc(c1)c1ccncc1)c1ccccc1;397;TiO2;1,4-dioxane;BATHOCHROMIC;10.1002/ange.201102552
