"SMI","lambda1 (sTDA, nm)","F1 (sTDA)","lamda1  (TD-DFT, nm)","F1 (TD-DFT)","lambda_max (Exp,  nm)","extinction (Lmol-1cm-1)","solvent"
OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,NaN,NaN,NaN,NaN,280,NaN,NaN
Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,263.5,0.013442508,NaN,NaN,280,NaN,NaN
Brc1[nH]c2c(n1)c(Br)c(c(c2Br)Br)Br,264,0.06144223,NaN,NaN,940,NaN,NaN
Clc1ccc(c(c1)Cl)OCCn1cncc1,245.2,0.01320909,NaN,NaN,254,NaN,NaN
COC(=O)C(CC(=O)O)(CC(=O)O)O,NaN,NaN,NaN,NaN,1666.666667,NaN,NaN
CC(=O)O[C@H]1[C@@H](O[C@@H]([C@H]1C(F)(F)F)COC(=O)c1ccccc1)n1ccc(=O)[nH]c1=O,242.5,0.011785684,NaN,NaN,931,NaN,NaN
COC(=O)Cc1ccc(cc1)OC[C@H]1OC1,245.9,0.039421678,NaN,NaN,225,NaN,NaN
CN1CCN(CC1)c1c(F)cc2c3c1OCC(n3cc(c2=O)C(=O)O)C,291.8,0.049057736,NaN,NaN,820,NaN,NaN
OC[C@H]1O[C@@H](N=C=C2CC(=O)c3c4c2nc2cc(Cl)ccc2c4ncc3)[C@@H]([C@H]([C@@H]1O)O)O,345.9,0.072535587,NaN,NaN,943,NaN,NaN
CNc1ccc(cc1)O,280.5,0.081007299,NaN,NaN,254,NaN,NaN
Oc1ccccc1c1nc2c(o1)c(cc(c2)C(C)(C)C)C(C)(C)C,285.5,0.634135114,NaN,NaN,254,NaN,NaN
OC(=O)C(Cn1cnc2c1ncnc2N(C)C)N,249.8,0.28069835,NaN,NaN,267.6,NaN,NaN
OC(=O)C(Cn1cnc2c1ncnc2NC1CC1)N,246.1,0.295371903,NaN,NaN,266.5,NaN,NaN
OC(=O)C(Cn1cnc2c1ncnc2S)N,255.8,0.003472214,NaN,NaN,321.4,NaN,NaN
OC(=O)C(Cn1cnc2c1nc(N)nc2N(C)C)N,247.7,0.312070445,NaN,NaN,293.8,NaN,NaN
OC(=O)C(Cn1cnc2c1nc(N)nc2NC1CC1)N,246.7,0.308292608,NaN,NaN,296.1,NaN,NaN
OC(=O)C(Cn1cnc2c1nc(N)[nH]c2=O)N,241.5,0.194960104,NaN,NaN,278,NaN,NaN
OC(=O)C(Cn1cnc2c1nc(N)nc2S)N,267.6,0.252184117,NaN,NaN,342.2,NaN,NaN
COc1ccc2c(c1)oc(c2C)c1ccc(cc1O)O,279.1,0.772689282,NaN,NaN,254,NaN,NaN
[N-]=[N+]=NC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1OC)O)O)n1c2c3[nH]c4c(c3c3c(c2c2c1cccc2)c(=O)[nH]c3=O)cccc4,344.8,0.023739585,NaN,NaN,943,NaN,NaN
[O-][N+](=O)OCc1ccc(cc1)C(=O)NNC(=O)C1(C)CCc2c(O1)c(C)c(c(c2C)O)C,260.9,1.68E-05,NaN,NaN,254,NaN,NaN
Oc1cc2oc(cc(=S)c2c(c1O)O)c1ccccc1,364.3,0.000185455,NaN,NaN,254,NaN,NaN
O=C(c1c(O)cc(c(c1O)O)O)C=Cc1ccccc1,317.9,0.415192397,NaN,NaN,254,NaN,NaN
O=C(c1c(O)cc(c(c1O)O)O)C=CC1CC=CC=C1,308.1,0.141253148,NaN,NaN,254,NaN,NaN
Oc1cc2c(cc1O)oc1c(c2=O)c(O)c(c(c1)O)O,306,0.124394089,NaN,NaN,254,NaN,NaN
C(CC(=O)c1c(O)cc(cc1O)O)CC=C(C)C,270.3,0.060248761,NaN,NaN,240,NaN,NaN
COc1cc(cc(c1OC)OC)c1oncc1c1ccc(c(c1)O)OC,270.5,0.421102948,NaN,NaN,931,NaN,NaN
COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccc3c(c1)OCO3)c(n2C(=O)c1ccc(cc1)Cl)C,279.7,0.011897139,NaN,NaN,210,NaN,NaN
COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccsc1C(=O)OC)c(n2C(=O)c1ccc(cc1)Cl)C,279.1,0.176990938,NaN,NaN,220,NaN,NaN
COc1ccc2c(c1)c(CC(=O)OCC(=O)NCc1ccccc1)c(n2C(=O)c1ccc(cc1)Cl)C,272.5,0.206562694,NaN,NaN,210,NaN,NaN
COc1ccc2c(c1)c(CC(=O)OCC(=O)N1CCSCC1)c(n2C(=O)c1ccc(cc1)Cl)C,280.8,0.010700047,NaN,NaN,210,NaN,NaN
C=CC[C@H](C(=O)OCc1ccccc1)C[C@@H](C(=O)OCc1ccccc1)NC(=O)OC(C)(C)C,230,0.000353314,NaN,NaN,254,NaN,NaN
O=C(CC[C@@](C(=O)OCc1ccccc1)(NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)OCc1ccccc1)C)OCc1ccccc1,233.7,0.001334065,NaN,NaN,254,NaN,NaN
O=C(N[C@H](C(=O)O)CCC(=O)O)CC[C@H](N(C(=O)c1ccc(cc1)N(C1CCc2c1cc1c(c2)nc([nH]c1=O)N)C)[2H])C(=O)O,277.5,0.074075733,NaN,NaN,2000,NaN,NaN
c1ccc(cc1)C=Cc1ccc2c(n1)cccc2,290.9,0.384365275,NaN,NaN,800,NaN,NaN
Cc1ccc2c(n1)c(O)c(cc2)C(=O)NCc1ccccc1,303.8,0.033925757,NaN,NaN,800,NaN,NaN
CCn1c(N)c(N)c(=O)n(c1=O)CC,229.2,0.264721498,NaN,NaN,254,NaN,NaN
c1ccc2c(c1)c(c[nH]2)C1NCCc2c1[nH]c1c2cccc1,266.5,0.14746186,NaN,NaN,254,NaN,NaN
COc1ccc2c(c1)[nH]c1c2cc2c(c1C)sc(c2C)C,295.6,0.039075961,NaN,NaN,254,NaN,NaN
Clc1nnc(c(c1)N1CCN(CC1)CCOc1ccc(cc1)n1cnnc1)Cl,316.4,0.016052517,NaN,NaN,254,NaN,NaN
O=C(OC1CC2C(C1(C)CC2)(C)C)C=Cc1cc(O)c(c(c1)O)O,276.5,0.02523167,NaN,NaN,933,NaN,NaN
COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1,233.3,0.001282176,NaN,NaN,257,NaN,NaN
OC[C@@H]([C@@H](Cc1ccc(c(c1)OC)O)CO)Cc1ccc(c(c1)OC)O,254.4,0.014524677,NaN,NaN,225,NaN,NaN
COc1cc(ccc1O)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc(c(c1)OC)O,248.6,0.093219734,NaN,NaN,225,NaN,NaN
O=C(c1cc(NCc2c(C)cccc2C)c2c(n1)c(C)c([nH]2)C)N(C)C,267.3,0.039253081,NaN,NaN,254,NaN,NaN
Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,251.4,0.048265944,NaN,NaN,280,NaN,NaN
