smiles,solvent,abs_peakwavs_max,abs_bandwidth,abs_molar_ext_coeff,emi_peakwavs_max,emi_bandwidth,quantum_yield,log_lifetime,source
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,489.0,93.2,4.77815125,560.0,80.0,0.72,2.4,deep4chem
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,506.0,100.0,4.763427994,591.0,89.2,0.78,2.6,deep4chem
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,508.0,102.1,4.763427994,618.0,110.3,0.62,2.4,deep4chem
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,507.0,101.5,4.755874856,633.0,119.6,0.67,2.5,deep4chem
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,O,664.0,79.8,4.591621038,683.0,41.3,0.02,0.3544,deep4chem
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CC#N,655.0,70.4,4.819346484,672.0,38.2,0.15,0.3397,deep4chem
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CCO,655.0,44.7,5.049992857,680.0,40.7,0.09,0.4618,deep4chem
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,662.0,53.8,4.819346484,682.0,44.9,0.03,0.4731,deep4chem
C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,438.0,98.2,4.35,491.0,31.6,0.1,1.0,deep4chem
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,372.0,70.0,4.29,501.0,48.0,0.13,1.5,deep4chem
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,353.0,90.7,4.17,473.0,42.2,0.38,2.5,deep4chem
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,436.0,71.5,3.982271233,500.0,69.7,0.91,15.18,deep4chem
O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,533.0,112.3,4.008600172,615.0,43.6,0.07,3.56,deep4chem
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCO,488.0,103.7,3.982723388,597.0,56.8,0.1,5.52,deep4chem
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCO,437.0,72.1,4.033423755,509.0,66.3,0.35,1.66,deep4chem
Cc1cc(=O)oc2cc(/[NH+]=C/C=C3/C=C(C(=O)O)NC(C(=O)O)C3)ccc12,O,520.0,74.3,4.812913357,570.0,75.7,0.006,0.038,deep4chem
O=C(O)C1=C/C(=C/C=[NH+]/c2ccc3c(C(F)(F)F)cc(=O)oc3c2)CC(C(=O)O)N1,O,519.0,74.3,4.812913357,570.0,60.8,0.021,0.1,deep4chem
C(=C/c1nc2ccccc2[nH]1)\c1ccc(/C=C/c2nc3ccccc3[nH]2)cc1,CN(C)C=O,390.0,64.8,4.712649702,433.0,83.6,0.775,0.997,deep4chem
[NH3+]C(Cc1ccc(O)cc1)C(=O)[O-],O,274.0,23.5,3.08170727,304.0,31.1,0.13,3.27,deep4chem
F[B-]1(F)OC(c2ccc3c(c2)Cc2ccccc2-3)=CC(c2ccccc2)=[O+]1,CC#N,412.0,50.8,4.805500858,491.0,74.4,0.96,2.6,deep4chem
COc1ccc(C2=[O+][B-](F)(F)OC(c3ccc4c(c3)Cc3ccccc3-4)=C2)cc1,CC#N,424.0,54.4,4.855519156,466.0,56.0,0.94,1.6,deep4chem
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc([N+](=O)[O-])cc3)ccc2-c2ccc(-c3ccc([N+](=O)[O-])cc3)cc21,CN(C)C=O,380.0,66.6,4.654176542,569.0,138.6,0.31,1.92,deep4chem
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc([N+](=O)[O-])cc3)ccc2-c2ccc(-c3ccc([N+](=O)[O-])cc3)cc21,CS(C)=O,382.0,72.0,4.624282096,589.0,147.5,0.28,1.82,deep4chem
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/Nc1ccccc1)CCC3,CCO,595.0,63.0,4.832508913,641.0,61.7,0.35,5.19,deep4chem
CCN(CC)c1ccc2cc3c([o+]c2c1)/C(=C/Nc1ccccc1)CCC3,CCO,605.0,62.5,4.62324929,647.0,60.6,0.18,4.05,deep4chem
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/Nc1ccccc1)CCC3,ClCCl,607.0,55.3,4.819543936,644.0,55.7,0.6,5.8,deep4chem
CCN(CC)c1ccc2cc3c([o+]c2c1)/C(=C/Nc1ccccc1)CCC3,ClCCl,615.0,59.1,4.84509804,647.0,59.6,0.31,4.97,deep4chem
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/Nc1ccccc1)CCC3,ClC(Cl)Cl,608.0,65.9,4.806179974,644.0,69.1,0.35,3.16,deep4chem
