smiles,solvent,peakwavs_max,source
COC(=O)c1ccn2cc(-c3ccc(OC)cc3)nc2c1,CS(C)=O,355.0,chemfluor
COC(=O)c1ccn2c(N)c(-c3ccc(OC)cc3)nc2c1,CS(C)=O,426.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(OC)cc3)nc2c1,CS(C)=O,387.0,chemfluor
COC(=O)c1cccc2nc(-c3ccc(OC)cc3)c(NC3CCCCC3)n12,CS(C)=O,355.0,chemfluor
COc1ccc(-c2nc3ncccn3c2NC2CCCCC2)cc1,CS(C)=O,365.0,chemfluor
COc1ccc(-c2nc3cnccn3c2NC2CCCCC2)cc1,CS(C)=O,355.0,chemfluor
COc1ccc(-c2nc3ccccn3c2NC2CCCCC2)cc1,CS(C)=O,350.0,chemfluor
COc1ccc(-c2nc3cc(CO)ccn3c2NC2CCCCC2)cc1,CS(C)=O,341.0,chemfluor
COc1ccc(-c2nc3cc(Cl)ccn3c2NC2CCCCC2)cc1,CS(C)=O,357.0,chemfluor
COc1ccc(-c2nc3cc(C#N)ccn3c2NC2CCCCC2)cc1,CS(C)=O,389.0,chemfluor
CCCCCCc1nc2cc(C(=O)OC)ccn2c1NC1CCCCC1,CS(C)=O,368.0,chemfluor
CCCCCCCCc1nc2cc(C(=O)OC)ccn2c1NC1CCCCC1,CS(C)=O,368.0,chemfluor
CCCCCCCCc1nc2cnccn2c1NC1CCCCC1,CS(C)=O,329.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(Br)cc3)nc2c1,CS(C)=O,388.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3cccc(OC)c3)nc2c1,CS(C)=O,384.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(-n4ccnc4)cc3)nc2c1,CS(C)=O,387.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3cccn3C)nc2c1,CS(C)=O,392.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(OC)cc3O)nc2c1,CS(C)=O,391.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(Cl)o3)nc2c1,CS(C)=O,392.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3c[nH]cn3)nc2c1,CS(C)=O,400.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(S(=O)(=O)O)o3)nc2c1,CS(C)=O,393.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(O)cc3O)nc2c1,CS(C)=O,394.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(C)o3)nc2c1,CS(C)=O,398.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(C)o3)[n+](C)c2c1,CS(C)=O,399.0,chemfluor
Cc1ccc(-c2nc3cnccn3c2NC2CCCCC2)o1,CS(C)=O,368.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccccc3S(=O)(=O)O)nc2c1,CS(C)=O,382.0,chemfluor
COC(=O)c1ccn2c(NC3CCCCC3)c(/C(C)=C/c3ccccc3)nc2c1,CS(C)=O,392.0,chemfluor
