smiles,solvent,emi_peakwavs_max,emi_bandwidth,source
N#Cc1cc2ccc([O-])cc2oc1=O,O,450.0,43.0,deep4chem
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,553.72,67.4,deep4chem
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,555.0,50.0,deep4chem
c1ccc2ccccc2c1,C1CCCCC1,324.0,32.9,deep4chem
C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,328.0,29.6,deep4chem
C[SiH](C)c1cccc2ccccc12,C1CCCCC1,328.0,29.2,deep4chem
CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,329.0,30.2,deep4chem
CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,329.0,30.7,deep4chem
CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,329.0,30.0,deep4chem
C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,333.0,34.2,deep4chem
C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,333.0,33.3,deep4chem
CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,335.0,36.0,deep4chem
COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,327.0,38.8,deep4chem
C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,333.0,34.1,deep4chem
C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,333.0,33.3,deep4chem
C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,336.0,36.8,deep4chem
C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,352.0,30.5,deep4chem
CCCCCCCCCCCCn1cccc1/C=C/c1cc(OCCCC)c(/C=C/c2cccn2CCCCCCCCCCCC)cc1OCCCC,Cc1ccccc1,472.0,69.2,deep4chem
CCCCCCCCCCCCn1cccc1/C=C/c1ccc(OCCCC)c2c(/C=C/c3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12,Cc1ccccc1,490.0,89.8,deep4chem
CCCCCCCCCCCCn1cccc1/C=C/c1ccc(/C=C/c2cccn2CCCCCCCCCCCC)cc1,Cc1ccccc1,443.0,63.2,deep4chem
N#Cc1cc2ccc(cc2)c2cccc3cccc(c4ccc(cc4)cc(C#N)c4ccc(cc4)c4cccc5cccc(c6ccc1cc6)c54)c32,Cc1ccccc1,496.0,95.6,deep4chem
CCCCCCCCc1ccc(-c2ccc(/C=C(\C#N)c3ccc(-c4cccc5cccc(-c6ccc(/C(C#N)=C/c7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1,Cc1ccccc1,491.0,96.8,deep4chem
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,560.0,80.0,deep4chem
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClC(Cl)(Cl)Cl,571.8681319,80.4,deep4chem
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,591.0,89.2,deep4chem
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClCCl,599.7802198,96.3,deep4chem
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,618.0,110.3,deep4chem
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,633.0,119.6,deep4chem
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CS(C)=O,663.0769231,129.9,deep4chem
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,Cc1ccccc1,623.0,74.6,deep4chem
CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)cc2)s1,Cc1ccccc1,637.0,35.5,deep4chem
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,O,683.0,41.3,deep4chem
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CC#N,672.0,38.2,deep4chem
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CCO,680.0,40.7,deep4chem
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,682.0,44.9,deep4chem
COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,479.0,45.1,deep4chem
C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,491.0,31.6,deep4chem
O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,494.0,60.5,deep4chem
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,501.0,48.0,deep4chem
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,473.0,42.2,deep4chem
O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,CC#N,485.0,45.2,deep4chem
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,500.0,69.7,deep4chem
O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,615.0,43.6,deep4chem
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCO,597.0,56.8,deep4chem
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCO,509.0,66.3,deep4chem
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,465.0,51.9,deep4chem
