smiles,solvent,log_lifetime,source
N#Cc1cc2ccc(O)cc2oc1=O,O,2.804262479,deep4chem
N#Cc1cc2ccc([O-])cc2oc1=O,O,3.961965135,deep4chem
CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,3.602954423,deep4chem
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,3.81,deep4chem
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,4.7,deep4chem
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,2.8,deep4chem
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,3.1,deep4chem
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,3.4,deep4chem
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,3.1,deep4chem
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,3.8,deep4chem
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,4.1,deep4chem
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,4.6,deep4chem
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,0.6,deep4chem
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,0.85,deep4chem
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,2.7,deep4chem
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,2.6,deep4chem
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,3.3,deep4chem
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,4.5,deep4chem
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,5.9,deep4chem
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,4.3,deep4chem
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,5.4,deep4chem
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,5.6,deep4chem
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,3.4,deep4chem
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,3.5,deep4chem
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,4.2,deep4chem
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,5.6,deep4chem
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,5.1,deep4chem
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,5.2,deep4chem
CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,3.2,deep4chem
CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,2.8,deep4chem
CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,3.5,deep4chem
CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,7.7,deep4chem
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,3.7,deep4chem
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,O,1.52,deep4chem
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12,O,4.16,deep4chem
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,[2H]O[2H],1.84,deep4chem
CCN(CC)c1ccc2c(c1)OC1=CC(N(CC)CC)C=CC1[C+]2c1ccccc1C(=O)O,[2H]O[2H],1.64,deep4chem
