smiles,solvent,abs_peakwavs_max,emi_peakwavs_max
N#Cc1cc2ccc(O)cc2oc1=O,O,355.0,410.0
N#Cc1cc2ccc([O-])cc2oc1=O,O,408.0,450.0
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,514.0,553.72
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,524.0,555.0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,350.0,395.0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,361.0,416.0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,367.0,430.0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,373.0,451.0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,384.0,463.0
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,376.0,433.0
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,392.0,479.0
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,396.0,501.0
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,400.0,509.0
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,413.0,524.0
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,361.0,407.0
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,380.0,450.0
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,387.0,473.0
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,396.0,489.0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,393.0,455.0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,409.0,501.0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,418.0,521.0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,421.0,531.0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,434.0,546.0
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,382.0,439.0
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,405.0,510.0
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,408.0,515.0
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,365.0,465.0
CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,403.0,480.0
CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,354.0,420.0
CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,383.0,481.0
CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,530.0,555.0
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,O,515.0,538.0
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,521.0,534.0
O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,548.0,566.0
O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CO,522.0,542.0
O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,526.0,545.0
O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,556.0,571.0
