smiles,energy_max_osc
CCCCCCCCn1c2ccc(-c3ccc(-c4ccc(/C=C(\C#N)C(=O)O)s4)s3)cc2c2cc(-c3ccc(-c4ccc(/C=C(\C#N)C(=O)O)s4)s3)ccc21,2.882
COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccc4cc(OC)ccc4c3)n2)cc1,3.784
CCOc1nc2c(c(-c3ccc(N4CCOCC4)cc3)c1C#N)Cc1ccccc1-2,4.184
CC(C)(C)c1ccc2c(c1)oc1nc3oc4ccc(-n5c6ccccc6c6ccccc65)cc4c3cc12,4.361
COc1cc2c(cc1/N=N/c1ccc([N+](=O)[O-])cc1)C(C)=CC(C)(C)N2CCCC(=O)ON1C(=O)CCC1=O,3.163
F[B-]1(F)n2c(ccc2-n2cnc3ccccc32)C(c2cccs2)=C2C=CC(n3cnc4ccccc43)=[N+]21,2.765
Brc1ccc(-c2oc3ccc4oc(-c5ccc(Br)cc5)c(-c5ccc(Br)cc5)c5ccc(c2-c2ccc(Br)cc2)c3c45)cc1,2.76
CCCCCCn1c2cc(/C=C(\C#N)C(=O)O)sc2c2sc(-c3ccc4c(c3)C(CCCCCC)(CCCCCC)c3cc(-c5cc6c(s5)c5sc(/C=C(\C#N)C(=O)O)cc5n6CCCCCC)ccc3-4)cc21,2.762
CN(C)c1ccc(/C=C(\NC(=O)c2ccccc2)C(=O)N/N=C/c2cc(/N=N/c3ccccc3Cl)ccc2O)cc1,3.941
O=C(Nc1ccc(N=Nc2ccccc2)cc1)N1CCC2(CC1)OCCO2,3.828
CCCCc1ccc(/N=N/c2c(O)c(C(=O)Nc3cc(C)ccc3OC)cc3ccccc23)cc1,3.243
O=C(Cn1c2ccccc2c(=O)c2ccccc21)Nc1cc(F)ccc1NC(=O)c1ccccn1,3.96
CCCCC1(CCCC)c2ccccc2-c2ccc(-c3c4c(nc5ccccc35)-c3cc5c(cc3CC4)-c3nc4ccccc4c(-c4ccc6c(c4)C(CCCC)(CCCC)c4ccccc4-6)c3CC5)cc21,3.92
Cn1nc(-c2ccc(C#N)cc2)cc1-c1ccccc1,4.899
O=C(Cn1c2ccccc2c(=O)c2ccccc21)NCc1cn2ccccc2n1,3.943
O=C(CCS(=O)(=O)Cc1ccccc1)Nc1ccc(/N=N/c2ccccc2)cc1,3.965
N#Cc1nc[nH]c1C#N,5.557
Cc1ccc(-n2c3ccccc3c3cc(C(=C(C#N)C#N)c4ccccc4)ccc32)cc1,3.817
CN(C)c1ccc(/N=N/c2cccc(F)c2)cc1,3.645
Clc1ccc(N2N=C([c-]3cccc3)CC2c2ccccc2OCc2ccccc2)nn1,3.707
CCCC=O,4.243
O=C1NC(=O)C(=NNc2ccc(/N=N/c3ccccc3)cc2)C(=O)N1,3.406
C(#Cc1ccccc1C#Cc1ccccc1)c1ccccc1,3.967
O=C1C2ON(c3ccccc3)C(c3c4ccccc4cc4ccccc34)C2C(=O)N1c1ccc(Br)cc1,3.683
CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3cccnc3)nc(-c3cccnc3)c2)cc1,4.5
CCN(CC)c1ccc2c(-c3cccc(OC)c3)c3ccc(=[NH2+])cc-3[nH]c2c1,3.402
