smiles,energy_max_osc
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)OCC(=O)Nc1ccc(N=Nc2ccccc2)cc1,3.863
C(=Cc1ccccc1C=Cc1ccccc1)c1ccccc1,3.944
CC(C)(C)c1ccc(-c2c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(-c3ccc(C(C)(C)C)cc3)c2-c2ccc(C(C)(C)C)cc2)cc1,4.275
CC(C)(C)c1ccc(-c2c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(C#N)c(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c(-c3ccc(C(C)(C)C)cc3)c2-c2ccc(C(C)(C)C)cc2)cc1,4.113
C1=C(c2ccccc2)C(c2ccccc2)=CC1c1ccccc1,4.738
c1ccc(-c2ccc(-c3ccc(-c4cc(-c5ccc(-c6ccc(-c7ccccc7)cc6)cc5)cc(-c5ccc(-c6ccc(-c7ccccc7)cc6)cc5)c4)cc3)cc2)cc1,4.432
c1ccc2ncncc2c1,4.198
O=C(CCCCC(=O)N/N=C1/Nc2c(Br)cc(Br)cc2C1=O)N/N=C1\C(=O)Nc2c(Br)cc(Br)cc21,3.775
Cc1ccccc1C1=C2C=c3c(oc4c3ccc3ccccc34)=[N+]2[B-](F)(F)n2c1cc1c3ccc4ccccc4c3oc12,2.758
Cc1nc(CC(=O)Nc2ccc(N=Nc3ccccc3)cc2)cs1,3.821
O=[N+]([O-])c1ccc(N=Nc2ccc(N=P(N3CCCCC3)(N3CCCCC3)N3CCCCC3)cc2)cc1,3.204
Cc1ccc2c(c1)CN1c3ccccc3Cc3c(O)ccc-2c31,4.114
Cc1ccc2c(c1)Cc1c(O)ccc3c1N2Cc1ccccc1-3,4.072
Cc1cc(F)c2c(c1)C(=O)C(=O)N2CN1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1,3.427
O=C1C(=O)N(CN2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)c2ccccc21,3.552
CN(C)c1ccc2c(c1)C(C)(C)C1=CC(=[N+](C)C)C=CC1=C2C#Cc1ccccc1,2.769
Brc1c2ccccc2c(-c2cc3ccccc3c3ccccc23)c2ccccc12,3.617
CC(=O)CC(=O)c1ccc(-c2nc3ccccc3o2)o1,3.891
N#Cc1c2cccccc-2c2c(Cl)cc(Cl)nc12,3.507
Clc1cc(Cl)c2c3cccccc-3cc2n1,3.531
CC(=O)Oc1cc(OC(C)=O)c2c3cccccc-3c(C#N)c2n1,3.488
CC(C)(C(=O)N1CCN(C(=O)Cn2c3ccccc3c(=O)c3ccccc32)CC1)c1ccccc1,3.933
CN(C)c1nc(N)nc2c1ncc(=O)n2[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,4.024
CN(C)c1ncnc2c1ncc(=O)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,3.928
CSc1nc(N(C)C)c2ncc(=O)n([C@H]3O[C@@H](CO)[C@H](O)[C@@H]3O)c2n1,3.971
Nc1ncnc2c1ncc(=O)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,4.035
CC(C)CCOc1ccc(N2c3ccccc3Sc3cc(/C=C/c4cc5nc(C(=O)O)c(C(=O)O)nc5cc4/C=C/c4ccc5c(c4)Sc4ccccc4N5c4ccc(OCCC(C)C)cc4)ccc32)cc1,3.295
CCS(=O)(=O)N1CCC(C(=O)Nc2ccc(N=Nc3ccccc3)cc2)CC1,3.889
CS(=O)(=O)N1CCC(C(=O)Nc2ccc(/N=N/c3ccccc3)cc2)CC1,3.869
CCOC(=O)N1CCC(C(=O)Nc2ccc(N=Nc3ccccc3)cc2)CC1,3.873
COC(=O)c1cc(/C=C/c2ccccc2)n2ccccc12,3.702
Cc1ccc(C2=C3C=CC(Sc4ccccc4)=[N+]3[B-](F)(F)n3c(Sc4ccccc4)ccc32)cc1,2.785
CC(C)c1cc(C(C)C)c(B2c3ccccc3Oc3cc(-n4c5ccccc5c5ccc6c(c7ccccc7n6-c6ccccc6)c54)ccc32)c(C(C)C)c1,4.173
O=C(CN1C(=O)C(=O)c2ccccc21)OCN1C(=O)c2ccccc2C1=O,3.486
c1ccc2c(N3CCN(c4c5ccccc5nc5ccccc45)CC3)c3ccccc3nc2c1,3.517
