smiles,solvent,peakwavs_max
N#Cc1cc2ccc(O)cc2oc1=O,O,355.0
N#Cc1cc2ccc([O-])cc2oc1=O,O,408.0
CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,526.0
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,514.0
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,524.0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,350.0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,361.0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,367.0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,373.0
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,384.0
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,361.0
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,380.0
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,387.0
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,396.0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,393.0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,409.0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,418.0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,421.0
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,434.0
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,365.0
CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,454.0
CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,354.0
CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,383.0
