smiles,solvent,abs_peakwavs_max,abs_bandwidth,abs_molar_ext_coeff,emi_peakwavs_max,emi_bandwidth
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,489.0,93.2,4.77815125,560.0,80.0
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,506.0,100.0,4.763427994,591.0,89.2
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,508.0,102.1,4.763427994,618.0,110.3
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,507.0,101.5,4.755874856,633.0,119.6
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,O,664.0,79.8,4.591621038,683.0,41.3
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CC#N,655.0,70.4,4.819346484,672.0,38.2
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CCO,655.0,44.7,5.049992857,680.0,40.7
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,662.0,53.8,4.819346484,682.0,44.9
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,372.0,70.0,4.29,501.0,48.0
O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,353.0,90.7,4.17,473.0,42.2
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,436.0,71.5,3.982271233,500.0,69.7
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCO,488.0,103.7,3.982723388,597.0,56.8
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCO,437.0,72.1,4.033423755,509.0,66.3
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,427.0,62.9,4.08278537,465.0,51.9
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,Cc1ccccc1,435.0,67.7,3.977723605,483.0,62.1
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,ClCCl,437.0,69.7,4.004321374,490.0,62.6
O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,432.0,68.8,3.977723605,485.0,63.8
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCCCCC,480.0,89.2,3.970811611,555.0,43.0
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,Cc1ccccc1,492.0,94.8,3.925312091,573.0,47.6
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,ClCCl,500.0,97.0,3.964730921,587.0,50.4
CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,C1CCOC1,497.0,97.0,3.909556029,583.0,50.1
N#Cc1cc2ccccc2[nH]1,C1COCCO1,281.595092,34.4,4.482860169,329.0,50.8
N#Cc1c[nH]c2ccccc12,C1COCCO1,277.3006135,35.6,4.118778428,305.0,54.3
N#Cc1cccc2[nH]ccc12,C1COCCO1,304.2944785,46.0,3.998979331,369.0,64.8
N#Cc1ccc2[nH]ccc2c1,C1COCCO1,274.8466258,48.5,3.967187497,348.0,58.5
N#Cc1ccc2cc[nH]c2c1,C1COCCO1,284.3558282,47.5,4.009079658,342.0,59.2
N#Cc1cccc2cc[nH]c12,C1COCCO1,307.3619632,39.9,4.155920236,367.0,66.2
N#Cc1cc2ccccc2[nH]1,CC#N,279.6875,33.4,4.431288241,330.0,50.1
N#Cc1cccc2[nH]ccc12,CC#N,302.8125,49.1,4.090749704,380.0,73.8
N#Cc1ccc2[nH]ccc2c1,CC#N,275.0,46.3,3.750801643,362.0,64.8
N#Cc1ccc2cc[nH]c2c1,CC#N,285.0,48.4,4.190134336,354.0,73.1
N#Cc1cccc2cc[nH]c12,CC#N,309.6875,38.8,4.069560405,378.0,74.5
Cc1cc(=O)oc2cc(/[NH+]=C/C=C3/C=C(C(=O)O)NC(C(=O)O)C3)ccc12,O,520.0,74.3,4.812913357,570.0,75.7
O=C(O)c1ccccc1O,O,295.0,32.9,3.539577883,407.0,66.9
COc1cc(/C=C/C(=O)O)ccc1O,O,287.0,69.9,4.150664354,413.0,83.4
Cc1ccc(O)cc1,O,276.0,23.5,3.285557309,307.0,36.4
[NH3+]C(Cc1ccc(O)cc1)C(=O)[O-],O,274.0,23.5,3.08170727,304.0,31.1
[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)[O-],O,277.0,37.0,3.729002709,350.0,65.2
O=c1ccc2ccccc2o1,O,306.0,70.5,3.728921646,385.0,100.4
COc1ccc(C2=[O+][B-](F)(F)OC(c3ccc4c(c3)Cc3ccccc3-4)=C2)cc1,CC#N,424.0,54.4,4.855519156,466.0,56.0
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc([Si](C)(C)C)cc3)ccc2-c2ccc(-c3ccc([Si](C)(C)C)cc3)cc21,ClC(Cl)Cl,330.0,52.8,4.905256049,368.0,46.5
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(C(=O)OC)cc3)ccc2-c2ccc(-c3ccc(C(=O)OC)cc3)cc21,ClC(Cl)Cl,341.0,47.4,4.836324116,388.0,48.1
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(C#N)cc3)ccc2-c2ccc(-c3ccc(C#N)cc3)cc21,ClC(Cl)Cl,341.0,46.3,4.802089258,385.0,46.3
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc([N+](=O)[O-])cc3)ccc2-c2ccc(-c3ccc([N+](=O)[O-])cc3)cc21,ClC(Cl)Cl,373.0,65.1,4.692846919,538.0,119.9
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc([N+](=O)[O-])cc3)ccc2-c2ccc(-c3ccc([N+](=O)[O-])cc3)cc21,CN(C)C=O,380.0,66.6,4.654176542,569.0,138.6
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc([N+](=O)[O-])cc3)ccc2-c2ccc(-c3ccc([N+](=O)[O-])cc3)cc21,CS(C)=O,382.0,72.0,4.624282096,589.0,147.5
Oc1ccc(Br)cc1-c1nc2ncccc2o1,CO,341.0,45.1,2.173186268,477.0,79.0
COc1ccc(O)c(-c2nc3ncccc3o2)c1,CO,362.0,50.7,2.064457989,435.0,69.6
CCN(CC)c1ccc(-c2nc3ncccc3o2)c(O)c1,CO,379.0,39.3,2.136720567,426.0,49.2
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,Cc1ccccc1,407.0,58.7,4.716003344,469.0,64.6
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,ClCCl,429.0,58.3,4.716003344,478.0,64.8
CCN(CC)c1ccc2cc(-c3cn4ccccc4n3)c(=O)oc2c1,ClC(Cl)Cl,425.0,60.2,4.664641976,471.0,62.3
